Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RoleTenureRatio,ManagerTenureRatio,IncomeTenureRatio,IncomeTotalWorkRatio,RoleTenureRatio_was_nan,ManagerTenureRatio_was_nan,IncomeTenureRatio_was_nan,IncomeTotalWorkRatio_was_nan
41,Yes,Travel_Rarely,1102,Sales,1,2-College,Life Sciences,2-Medium,Female,94,3-High,2,Sales Executive,4-Very High,Single,5993,19479,8,Yes,11,3-Excellent,1-Low,0,8,0,1-Bad,6,4,0,5,0.67,0.83,998.83,749.12,0,0,0,0
49,No,Travel_Frequently,279,Research & Development,8,1-Below College,Life Sciences,3-High,Male,61,2-Medium,2,Research Scientist,2-Medium,Married,5130,24907,1,No,23,4-Outstanding,4-Very High,1,10,3,3-Better,10,7,1,7,0.7,0.7,513.0,513.0,0,0,0,0
37,Yes,Travel_Rarely,1373,Research & Development,2,2-College,Other,4-Very High,Male,92,2-Medium,1,Laboratory Technician,3-High,Single,2090,2396,6,Yes,15,3-Excellent,2-Medium,0,7,3,3-Better,0,0,0,0,0.0,0.0,0.0,298.57,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4-Master,Life Sciences,4-Very High,Female,56,3-High,1,Research Scientist,3-High,Married,2909,23159,1,Yes,11,3-Excellent,3-High,0,8,3,3-Better,8,7,3,0,0.88,0.0,363.62,363.62,0,0,0,0
27,No,Travel_Rarely,591,Research & Development,2,1-Below College,Medical,1-Low,Male,40,3-High,1,Laboratory Technician,2-Medium,Married,3468,16632,9,No,12,3-Excellent,4-Very High,1,6,3,3-Better,2,2,2,2,1.0,1.0,1734.0,578.0,0,0,0,0
32,No,Travel_Frequently,1005,Research & Development,2,2-College,Life Sciences,4-Very High,Male,79,3-High,1,Laboratory Technician,4-Very High,Single,3068,11864,0,No,13,3-Excellent,3-High,0,8,2,2-Good,7,7,3,6,1.0,0.86,438.29,383.5,0,0,0,0
59,No,Travel_Rarely,1324,Research & Development,3,3-Bachelor,Medical,3-High,Female,81,4-Very High,1,Laboratory Technician,1-Low,Married,2670,9964,4,Yes,20,4-Outstanding,1-Low,3,12,3,2-Good,1,0,0,0,0.0,0.0,2670.0,222.5,0,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,1-Below College,Life Sciences,4-Very High,Male,67,3-High,1,Laboratory Technician,3-High,Divorced,2693,13335,1,No,22,4-Outstanding,2-Medium,1,1,2,3-Better,1,0,0,0,0.0,0.0,2693.0,2693.0,0,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,3-Bachelor,Life Sciences,4-Very High,Male,44,2-Medium,3,Manufacturing Director,3-High,Single,9526,8787,0,No,21,4-Outstanding,2-Medium,0,10,2,3-Better,9,7,1,8,0.78,0.89,1058.44,952.6,0,0,0,0
36,No,Travel_Rarely,1299,Research & Development,27,3-Bachelor,Medical,3-High,Male,94,3-High,2,Healthcare Representative,3-High,Married,5237,16577,6,No,13,3-Excellent,2-Medium,2,17,3,2-Good,7,7,7,7,1.0,1.0,748.14,308.06,0,0,0,0
35,No,Travel_Rarely,809,Research & Development,16,3-Bachelor,Medical,1-Low,Male,84,4-Very High,1,Laboratory Technician,2-Medium,Married,2426,16479,0,No,13,3-Excellent,3-High,1,6,5,3-Better,5,4,0,3,0.8,0.6,485.2,404.33,0,0,0,0
29,No,Travel_Rarely,153,Research & Development,15,2-College,Life Sciences,4-Very High,Female,49,2-Medium,2,Laboratory Technician,3-High,Single,4193,12682,0,Yes,12,3-Excellent,4-Very High,0,10,3,3-Better,9,5,0,8,0.56,0.89,465.89,419.3,0,0,0,0
31,No,Travel_Rarely,670,Research & Development,26,1-Below College,Life Sciences,1-Low,Male,31,3-High,1,Research Scientist,3-High,Divorced,2911,15170,1,No,17,3-Excellent,4-Very High,1,5,1,2-Good,5,2,4,3,0.4,0.6,582.2,582.2,0,0,0,0
34,No,Travel_Rarely,1346,Research & Development,19,2-College,Medical,2-Medium,Male,93,3-High,1,Laboratory Technician,4-Very High,Divorced,2661,8758,0,No,11,3-Excellent,3-High,1,3,2,3-Better,2,2,1,2,1.0,1.0,1330.5,887.0,0,0,0,0
28,Yes,Travel_Rarely,103,Research & Development,24,3-Bachelor,Life Sciences,3-High,Male,50,2-Medium,1,Laboratory Technician,3-High,Single,2028,12947,5,Yes,14,3-Excellent,2-Medium,0,6,4,3-Better,4,2,0,3,0.5,0.75,507.0,338.0,0,0,0,0
29,No,Travel_Rarely,1389,Research & Development,21,4-Master,Life Sciences,2-Medium,Female,51,4-Very High,3,Manufacturing Director,1-Low,Divorced,9980,10195,1,No,11,3-Excellent,3-High,1,10,1,3-Better,10,9,8,8,0.9,0.8,998.0,998.0,0,0,0,0
32,No,Travel_Rarely,334,Research & Development,5,2-College,Life Sciences,1-Low,Male,80,4-Very High,1,Research Scientist,2-Medium,Divorced,3298,15053,0,Yes,12,3-Excellent,4-Very High,2,7,5,2-Good,6,2,0,5,0.33,0.83,549.67,471.14,0,0,0,0
22,No,Non-Travel,1123,Research & Development,16,2-College,Medical,4-Very High,Male,96,4-Very High,1,Laboratory Technician,4-Very High,Divorced,2935,7324,1,Yes,13,3-Excellent,2-Medium,2,1,2,2-Good,1,0,0,0,0.0,0.0,2935.0,2935.0,0,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4-Master,Life Sciences,1-Low,Female,78,2-Medium,4,Manager,4-Very High,Married,15427,22021,2,No,16,3-Excellent,3-High,0,31,3,3-Better,25,8,3,7,0.32,0.28,617.08,497.65,0,0,0,0
38,No,Travel_Rarely,371,Research & Development,2,3-Bachelor,Life Sciences,4-Very High,Male,45,3-High,1,Research Scientist,4-Very High,Single,3944,4306,5,Yes,11,3-Excellent,3-High,0,6,3,3-Better,3,2,1,2,0.67,0.67,1314.67,657.33,0,0,0,0
24,No,Non-Travel,673,Research & Development,11,2-College,Other,1-Low,Female,96,4-Very High,2,Manufacturing Director,3-High,Divorced,4011,8232,0,No,18,3-Excellent,4-Very High,1,5,5,2-Good,4,2,1,3,0.5,0.75,1002.75,802.2,0,0,0,0
36,Yes,Travel_Rarely,1218,Sales,9,4-Master,Life Sciences,3-High,Male,82,2-Medium,1,Sales Representative,1-Low,Single,3407,6986,7,No,23,4-Outstanding,2-Medium,0,10,4,3-Better,5,3,0,3,0.6,0.6,681.4,340.7,0,0,0,0
34,No,Travel_Rarely,419,Research & Development,7,4-Master,Life Sciences,1-Low,Female,53,3-High,3,Research Director,2-Medium,Single,11994,21293,0,No,11,3-Excellent,3-High,0,13,4,3-Better,12,6,2,11,0.5,0.92,999.5,922.62,0,0,0,0
21,No,Travel_Rarely,391,Research & Development,15,2-College,Life Sciences,3-High,Male,96,3-High,1,Research Scientist,4-Very High,Single,1232,19281,1,No,14,3-Excellent,4-Very High,0,0,6,3-Better,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1-Below College,Medical,2-Medium,Male,83,3-High,1,Research Scientist,1-Low,Single,2960,17102,2,No,11,3-Excellent,3-High,0,8,2,3-Better,4,2,1,3,0.5,0.75,740.0,370.0,0,0,0,0
53,No,Travel_Rarely,1282,Research & Development,5,3-Bachelor,Other,3-High,Female,58,3-High,5,Manager,3-High,Divorced,19094,10735,4,No,11,3-Excellent,4-Very High,1,26,3,2-Good,14,13,4,8,0.93,0.57,1363.86,734.38,0,0,0,0
32,Yes,Travel_Frequently,1125,Research & Development,16,1-Below College,Life Sciences,2-Medium,Female,72,1-Low,1,Research Scientist,1-Low,Single,3919,4681,1,Yes,22,4-Outstanding,2-Medium,0,10,5,3-Better,10,2,6,7,0.2,0.7,391.9,391.9,0,0,0,0
42,No,Travel_Rarely,691,Sales,8,4-Master,Marketing,3-High,Male,48,3-High,2,Sales Executive,2-Medium,Married,6825,21173,0,No,11,3-Excellent,4-Very High,1,10,2,3-Better,9,7,4,2,0.78,0.22,758.33,682.5,0,0,0,0
44,No,Travel_Rarely,477,Research & Development,7,4-Master,Medical,1-Low,Female,42,2-Medium,3,Healthcare Representative,4-Very High,Married,10248,2094,3,No,14,3-Excellent,4-Very High,1,24,4,3-Better,22,6,5,17,0.27,0.77,465.82,427.0,0,0,0,0
46,No,Travel_Rarely,705,Sales,2,4-Master,Marketing,2-Medium,Female,83,3-High,5,Manager,1-Low,Single,18947,22822,3,No,12,3-Excellent,4-Very High,0,22,2,2-Good,2,2,2,1,1.0,0.5,9473.5,861.23,0,0,0,0
33,No,Travel_Rarely,924,Research & Development,2,3-Bachelor,Medical,3-High,Male,78,3-High,1,Laboratory Technician,4-Very High,Single,2496,6670,4,No,11,3-Excellent,4-Very High,0,7,3,3-Better,1,1,0,0,1.0,0.0,2496.0,356.57,0,0,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4-Master,Other,4-Very High,Male,41,3-High,2,Healthcare Representative,4-Very High,Married,6465,19121,2,Yes,13,3-Excellent,4-Very High,0,9,5,4-Best,4,2,1,3,0.5,0.75,1616.25,718.33,0,0,0,0
30,No,Travel_Rarely,125,Research & Development,9,2-College,Medical,4-Very High,Male,83,2-Medium,1,Laboratory Technician,3-High,Single,2206,16117,1,No,13,3-Excellent,1-Low,0,10,5,3-Better,10,0,1,8,0.0,0.8,220.6,220.6,0,0,0,0
39,Yes,Travel_Rarely,895,Sales,5,3-Bachelor,Technical Degree,4-Very High,Male,56,3-High,2,Sales Representative,4-Very High,Married,2086,3335,3,No,14,3-Excellent,3-High,1,19,6,4-Best,1,0,0,0,0.0,0.0,2086.0,109.79,0,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3-Bachelor,Medical,2-Medium,Male,61,3-High,1,Research Scientist,4-Very High,Married,2293,3020,2,Yes,16,3-Excellent,1-Low,1,6,2,2-Good,2,0,2,0,0.0,0.0,1146.5,382.17,0,0,0,0
43,No,Travel_Rarely,1273,Research & Development,2,2-College,Medical,4-Very High,Female,72,4-Very High,1,Research Scientist,3-High,Divorced,2645,21923,1,No,12,3-Excellent,4-Very High,2,6,3,2-Good,5,3,1,4,0.6,0.8,529.0,440.83,0,0,0,0
50,Yes,Travel_Rarely,869,Sales,3,2-College,Marketing,1-Low,Male,86,2-Medium,1,Sales Representative,3-High,Married,2683,3810,1,Yes,14,3-Excellent,3-High,0,3,2,3-Better,3,2,0,2,0.67,0.67,894.33,894.33,0,0,0,0
35,No,Travel_Rarely,890,Sales,2,3-Bachelor,Marketing,4-Very High,Female,97,3-High,1,Sales Representative,4-Very High,Married,2014,9687,1,No,13,3-Excellent,1-Low,0,2,3,3-Better,2,2,2,2,1.0,1.0,1007.0,1007.0,0,0,0,0
36,No,Travel_Rarely,852,Research & Development,5,4-Master,Life Sciences,2-Medium,Female,82,2-Medium,1,Research Scientist,1-Low,Married,3419,13072,9,Yes,14,3-Excellent,4-Very High,1,6,3,4-Best,1,1,0,0,1.0,0.0,3419.0,569.83,0,0,0,0
33,No,Travel_Frequently,1141,Sales,1,3-Bachelor,Life Sciences,3-High,Female,42,4-Very High,2,Sales Executive,1-Low,Married,5376,3193,2,No,19,3-Excellent,1-Low,2,10,3,3-Better,5,3,1,3,0.6,0.6,1075.2,537.6,0,0,0,0
35,No,Travel_Rarely,464,Research & Development,4,2-College,Other,3-High,Male,75,3-High,1,Laboratory Technician,4-Very High,Divorced,1951,10910,1,No,12,3-Excellent,3-High,1,1,3,3-Better,1,0,0,0,0.0,0.0,1951.0,1951.0,0,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4-Master,Life Sciences,4-Very High,Female,33,3-High,1,Laboratory Technician,1-Low,Divorced,2341,19715,1,No,13,3-Excellent,4-Very High,1,1,6,3-Better,1,0,0,0,0.0,0.0,2341.0,2341.0,0,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3-Bachelor,Life Sciences,1-Low,Male,48,1-Low,1,Laboratory Technician,3-High,Single,2293,10558,1,No,12,3-Excellent,3-High,0,1,2,2-Good,1,0,0,1,0.0,1.0,2293.0,2293.0,0,0,0,0
27,No,Travel_Frequently,994,Sales,8,3-Bachelor,Life Sciences,4-Very High,Male,37,3-High,3,Sales Executive,3-High,Single,8726,2975,1,No,15,3-Excellent,4-Very High,0,9,0,3-Better,9,8,1,7,0.89,0.78,969.56,969.56,0,0,0,0
30,No,Travel_Frequently,721,Research & Development,1,2-College,Medical,3-High,Female,58,3-High,2,Laboratory Technician,4-Very High,Single,4011,10781,1,No,23,4-Outstanding,4-Very High,0,12,2,3-Better,12,8,3,7,0.67,0.58,334.25,334.25,0,0,0,0
41,Yes,Travel_Rarely,1360,Research & Development,12,3-Bachelor,Technical Degree,2-Medium,Female,49,3-High,5,Research Director,3-High,Married,19545,16280,1,No,12,3-Excellent,4-Very High,0,23,0,3-Better,22,15,15,8,0.68,0.36,888.41,849.78,0,0,0,0
34,No,Non-Travel,1065,Sales,23,4-Master,Marketing,2-Medium,Male,72,3-High,2,Sales Executive,3-High,Single,4568,10034,0,No,20,4-Outstanding,3-High,0,10,2,3-Better,9,5,8,7,0.56,0.78,507.56,456.8,0,0,0,0
