title,body,labels,milestone,assignees
"Establish data set & approach","As a project owner, I need to plan the approach in order to successfully complete the task","Must have","Day 1","illusio666"
"set up the repo and give permissions","As a project manager I need to set up the repo ","Must have","Day 1","illusio666"
"set up the project board, labels and milestones","As a project manager I need to set up the project board, labels and milestones in order to allow the tasks to be tracked","Must have","Day 1","illusio666"
"create and assign tasks","As a project manager I need to create and assign tasks in order to to track progress and ensure delivery","Must have","Day 1","illusio666"
"maintain the ReadMe with a summary of my ETL process","As a data architect I need to maintain the ReadMe with a summary of my ETL process in order to illustrate the purpose of the repo clearly","Must have","Day 1","illusio666"
"clone the repo and set up ETL notebook","As a data architect I need to clone the repo and set up ETL notebook in order to be able to undertake the ETL in the necessary format","Must have","Day 1","illusio666"
"update relevant sections of the Readme Day 2","As the work owner I need to update relevant sections of the Readme in order to reflect the content I've created","Must have","Day 1","illusio666"
"extract the chosen data set","As a data architect I need to extract the chosen data set in order to start clean up","Must have","Day 1","illusio666"
"establish clean up approach","As a data architect I need to identify clean up approach in order to allow prep work to start","Must have","Day 1","illusio666"
"complete any agreed data groupings (BMI classifiactions, age groupings, Yes/No children indicator)","As a data architect I need to complete any data groupings in order to undertake useful analysis","Must have","Day 1","illusio666"
"complete missing values treatments in the agreed manner","As a data architect I need to complete missing values treatments in the agreed manner in order to undertake useful analysis","Must have","Day 1","illusio666"
"complete data consistency changes (capitalisations, decimals,etc)","As a data architect I need to complete data consistency changes (capitalisations, decimals,etc) in order to undertake useful analysis","Must have","Day 1","illusio666"
"complete all data type changes if needed/agreed","As a data architect I need to complete all data type changes if needed/agreed in order to undertake useful analysis","Must have","Day 1","illusio666"
"complete removal of superfluous data","As a data architect, I need to remove any data that is not useful for analysis in order to minimise storage and maximise efficiency/clarity","Must have","Day 1","illusio667"
,,,,
"develop and ratify proposed visuals in Jupyter","As a data analyst I need to develop and ratify proposed visuals in Jupyter in order to start work with confidence once data model delivered","Must have","Day 2","illusio666"
"develop and ratify proposed visuals in PowerBI","As a data analyst I need to develop and ratify proposed visuals in PowerBI in order to start work with confidence once data model delivered","Must have","Day 2","illusio666"
"create & validate a useful visualisation to illustrate <objective 1>","As a data analyst I need to create & validate a useful visualisation to illustrate hypothesis 1 in order to to give our business lead the answer they need","Must have","Day 2","illusio666"
"create & validate a useful visualisation to illustrate <objective 2>","As a data analyst I need to create & validate a useful visualisation to illustrate hypothesis 2 in order to to give our business lead the answer they need","Must have","Day 2","illusio666"
"create & validate a useful visualisation to illustrate <objective 3>","As a data analyst I need to create & validate a useful visualisation to illustrate hypothesis 3 in order to to give our business lead the answer they need","Must have","Day 2","illusio666"
"create & validate a useful visualisation to illustrate <objective 4 >","As a data analyst I need to create & validate a useful visualisation to illustrate hypothesis 4 in order to to give our business lead the answer they need","Must have","Day 2","illusio666"
"create & validate a useful visualisation to illustrate <objective 5 >","As a data analyst I need to show any correlation between attrition and other key data variables in order to to give our business lead the answer they need","Must have","Day 3","illusio666"
"create & validate a useful visualisation to illustrate <objective 6 >","As a data analyst I need to cluster current staff by risk profile in order to  enable the business to tailor a retention strategy","Should have","Day 3","illusio666"
"undertake any data model refinements identified","As a data architect I need to undertake any data model refinements identified in order to allow data analysts to complete visualisations","Must have","Day 3","illusio666"
"finesse visualisation changes","As a data analyst I need to finesse visualisation changes in order to enable business takeaways to be drafted","Must have","Day 3","illusio666"
"finesse visualisation changes","As a data analyst I need to finesse visualisation changes in order to enable business takeaways to be drafted","Must have","Day 3","illusio666"
"draft business narratives/update the ReadMe","As a data analyst I need to draft business narratives/update the ReadMe in order to provide actionable insight to business owners","Must have","Day 3","illusio666"
"draft business narratives/update the ReadMe","As a data analyst I need to draft business narratives/update the ReadMe in order to provide actionable insight to business owners","Must have","Day 3","illusio666"
"finalise narrative on analyses","As a data analyst I need to finalise narrative on analyses in order to allow business to easily understand recommendations","Must have","Day 3","illusio666"
"finalise narrative on analyses","As a data analyst I need to finalise narrative on analyses in order to allow business to easily understand recommendations","Must have","Day 3","illusio666"
"build PowerBI dashboard","As a data analyst, I need to create a Power BI dashboard shell in order to build consistent visualisations","Must have","Day 4","illusio667"
"ensure table relationships are correctly set up if multiple tables","As a data architect I need to ensure table relationships are correctly set up if multiple tables in order to undertake useful analysis","Must have","Day 4","illusio666"
"create dashboard front page","As a data analyst, I need to create key metric visualisations that could be helpful to an HR business manager","Must have","Day 4","illusio668"
"create mey metrics","As a data analyst, I need to create insight visualisations that could be helpful to an HR business manager","Must have","Day 4","illusio669"
"create additional insight","As a data analyst, I need to create additional insight in order to assist with retention","Could have","Day 4","illusio670"
"pull summary content into 'exec summary'","As a project manager I need to pull summary content into 'exec summary' in order to allow execs to quickly see recommendations across both media","Must have","Day 5","illusio666"
"review remaining 'nice to have' tickets","As the work owner I need to review remaining 'nice to have' tickets in order to see if any further value can be added","Must have","Day 5","illusio666"
"upload final versions and merge all branches to main","As a project manager I need to upload final versions and merge al branches to main in order to submit final project","Must have","Day 5","illusio666"
"Submit project on LMS","As a project manager, I need to submit the final project on the LMS in order for it to be assessed",,"Day 5","illusio666"
